Timestamp,Action,Side,Size,Entry_Price,BRTI,Fair_P_UP,Kalshi_P_UP,Edge,Market_Ticker,PnL,Cumulative_PnL,Bankroll,Outcome,Window_Start,Exit_Reason
2026-02-21 19:23:42,OPEN,UP,100,0.0700,67866.97,0.5000,0.0650,0.4350,KXBTC15M-26FEB212230-30,,0.00,1000.00,,67866.97,
2026-02-21 19:30:20,CLOSE,UP,100,0.0700,67866.97,0.5000,0.0650,0.4350,KXBTC15M-26FEB212230-30,-7.00,-7.00,993.00,DOWN,67866.97,MARKET_RESOLVED
2026-02-21 19:30:32,OPEN,DOWN,99,0.5000,67933.97,0.4549,0.5050,-0.0501,KXBTC15M-26FEB212245-45,,-7.00,993.00,,67948.52,
2026-02-21 19:45:42,CLOSE,DOWN,99,0.5000,67933.97,0.4549,0.5050,-0.0501,KXBTC15M-26FEB212245-45,-49.50,-56.50,943.50,UP,67948.52,MARKET_RESOLVED
2026-02-21 19:46:08,OPEN,DOWN,100,0.4400,67966.85,0.5188,0.5700,-0.0512,KXBTC15M-26FEB212300-00,,-56.50,943.50,,67961.10,
2026-02-21 20:00:30,CLOSE,DOWN,100,0.4400,67966.85,0.5188,0.5700,-0.0512,KXBTC15M-26FEB212300-00,-44.00,-100.50,899.50,UP,67961.10,MARKET_RESOLVED
2026-02-21 20:02:55,OPEN,UP,89,0.5300,68034.95,0.5726,0.5200,0.0526,KXBTC15M-26FEB212315-15,,-100.50,899.50,,68015.72,
2026-02-21 20:15:20,CLOSE,UP,89,0.5300,68034.95,0.5726,0.5200,0.0526,KXBTC15M-26FEB212315-15,41.83,-58.67,941.33,UP,68015.72,MARKET_RESOLVED
2026-02-21 20:15:21,OPEN,DOWN,5,0.0100,68044.79,0.7016,0.9950,-0.2934,KXBTC15M-26FEB212315-15,,-58.67,941.33,,68015.72,
2026-02-21 20:15:51,CLOSE,DOWN,5,0.0100,68044.79,0.7016,0.9950,-0.2934,KXBTC15M-26FEB212315-15,-0.05,-58.72,941.28,UP,68015.72,MARKET_RESOLVED
2026-02-21 20:16:02,OPEN,DOWN,95,0.5400,68017.29,0.4108,0.4650,-0.0542,KXBTC15M-26FEB212330-30,,-58.72,941.28,,68045.08,
2026-02-21 20:30:42,CLOSE,DOWN,95,0.5400,68017.29,0.4108,0.4650,-0.0542,KXBTC15M-26FEB212330-30,43.70,-15.02,984.98,DOWN,68045.08,MARKET_RESOLVED
2026-02-21 20:31:12,OPEN,DOWN,100,0.4400,67998.37,0.5000,0.5650,-0.0650,KXBTC15M-26FEB212345-45,,-15.02,984.98,,67997.24,
2026-02-21 20:45:33,CLOSE,DOWN,100,0.4400,67998.37,0.5000,0.5650,-0.0650,KXBTC15M-26FEB212345-45,56.00,40.98,1040.98,DOWN,67997.24,MARKET_RESOLVED
2026-02-21 20:45:36,OPEN,DOWN,100,0.3900,67971.91,0.5000,0.6200,-0.1200,KXBTC15M-26FEB220000-00,,40.98,1040.98,,67971.91,
2026-02-21 21:00:23,CLOSE,DOWN,100,0.3900,67971.91,0.5000,0.6200,-0.1200,KXBTC15M-26FEB220000-00,-39.00,1.98,1001.98,UP,67971.91,MARKET_RESOLVED
2026-02-21 21:00:24,OPEN,DOWN,100,0.5200,67962.95,0.4345,0.6800,-0.2455,KXBTC15M-26FEB220000-00,,1.98,1001.98,,67971.91,
2026-02-21 21:00:54,CLOSE,DOWN,100,0.5200,67962.95,0.4345,0.6800,-0.2455,KXBTC15M-26FEB220000-00,-52.00,-50.02,949.98,UP,67971.91,MARKET_RESOLVED
2026-02-21 21:01:11,OPEN,DOWN,100,0.4000,67975.50,0.5411,0.6050,-0.0639,KXBTC15M-26FEB220015-15,,-50.02,949.98,,67963.00,
2026-02-21 21:15:45,OPEN,DOWN,100,0.4200,67891.14,0.5000,0.6150,-0.1150,KXBTC15M-26FEB220030-30,,-50.02,949.98,,67891.14,
2026-02-21 21:15:45,CLOSE,DOWN,100,0.4000,67975.50,0.5411,0.6050,-0.0639,KXBTC15M-26FEB220015-15,60.00,9.98,1009.98,DOWN,67963.00,MARKET_RESOLVED
2026-02-21 21:30:35,CLOSE,DOWN,100,0.4200,67891.14,0.5000,0.6150,-0.1150,KXBTC15M-26FEB220030-30,-42.00,-32.02,967.98,UP,67891.14,MARKET_RESOLVED
2026-02-21 21:33:49,OPEN,UP,100,0.3400,67907.01,0.4359,0.3350,0.1009,KXBTC15M-26FEB220045-45,,-32.02,967.98,,67922.83,
2026-02-21 21:45:23,CLOSE,UP,100,0.3400,67907.01,0.4359,0.3350,0.1009,KXBTC15M-26FEB220045-45,-34.00,-66.02,933.98,DOWN,67922.83,MARKET_RESOLVED
2026-02-21 21:47:08,OPEN,DOWN,95,0.5100,67902.84,0.4431,0.4950,-0.0519,KXBTC15M-26FEB220100-00,,-66.02,933.98,,67918.82,
2026-02-21 22:00:36,OPEN,UP,100,0.4500,67948.21,0.5000,0.4450,0.0550,KXBTC15M-26FEB220115-15,,-66.02,933.98,,67948.21,
2026-02-21 22:00:43,CLOSE,DOWN,95,0.5100,67902.84,0.4431,0.4950,-0.0519,KXBTC15M-26FEB220100-00,-48.45,-114.47,885.53,UP,67918.82,MARKET_RESOLVED
2026-02-21 22:15:34,CLOSE,UP,100,0.4500,67948.21,0.5000,0.4450,0.0550,KXBTC15M-26FEB220115-15,55.00,-59.47,940.53,UP,67948.21,MARKET_RESOLVED
2026-02-21 22:15:49,OPEN,DOWN,100,0.4200,68021.15,0.5000,0.5850,-0.0850,KXBTC15M-26FEB220130-30,,-59.47,940.53,,68023.18,
2026-02-21 22:30:26,CLOSE,DOWN,100,0.4200,68021.15,0.5000,0.5850,-0.0850,KXBTC15M-26FEB220130-30,-42.00,-101.47,898.53,UP,68023.18,MARKET_RESOLVED
2026-02-21 22:30:27,OPEN,DOWN,5,0.0100,68089.20,0.8745,0.9950,-0.1205,KXBTC15M-26FEB220130-30,,-101.47,898.53,,68023.18,
2026-02-21 22:30:56,CLOSE,DOWN,5,0.0100,68089.20,0.8745,0.9950,-0.1205,KXBTC15M-26FEB220130-30,-0.05,-101.52,898.48,UP,68023.18,MARKET_RESOLVED
2026-02-21 22:30:57,OPEN,UP,100,0.4600,68090.19,0.5000,0.4300,0.0700,KXBTC15M-26FEB220145-45,,-101.52,898.48,,68089.31,
2026-02-21 22:45:22,CLOSE,UP,100,0.4600,68090.19,0.5000,0.4300,0.0700,KXBTC15M-26FEB220145-45,-46.00,-147.52,852.48,DOWN,68089.31,MARKET_RESOLVED
2026-02-21 22:45:30,OPEN,DOWN,100,0.4100,68063.11,0.5000,0.6000,-0.1000,KXBTC15M-26FEB220200-00,,-147.52,852.48,,68063.11,
2026-02-21 23:00:43,CLOSE,DOWN,100,0.4100,68063.11,0.5000,0.6000,-0.1000,KXBTC15M-26FEB220200-00,59.00,-88.52,911.48,DOWN,68063.11,MARKET_RESOLVED
2026-02-21 23:00:55,OPEN,UP,100,0.3400,67987.24,0.5000,0.3350,0.1650,KXBTC15M-26FEB220215-15,,-88.52,911.48,,67989.28,
2026-02-21 23:15:34,CLOSE,UP,100,0.3400,67987.24,0.5000,0.3350,0.1650,KXBTC15M-26FEB220215-15,-34.00,-122.52,877.48,DOWN,67989.28,MARKET_RESOLVED
2026-02-21 23:15:37,OPEN,DOWN,100,0.4100,68012.95,0.5000,0.6000,-0.1000,KXBTC15M-26FEB220230-30,,-122.52,877.48,,68012.95,
2026-02-21 23:30:28,CLOSE,DOWN,100,0.4100,68012.95,0.5000,0.6000,-0.1000,KXBTC15M-26FEB220230-30,-41.00,-163.52,836.48,UP,68012.95,MARKET_RESOLVED
2026-02-21 23:30:29,OPEN,DOWN,5,0.0100,68003.25,0.4292,0.9950,-0.5658,KXBTC15M-26FEB220230-30,,-163.52,836.48,,68012.95,
2026-02-21 23:30:58,CLOSE,DOWN,5,0.0100,68003.25,0.4292,0.9950,-0.5658,KXBTC15M-26FEB220230-30,-0.05,-163.57,836.43,UP,68012.95,MARKET_RESOLVED
2026-02-21 23:31:05,OPEN,UP,89,0.4700,68009.02,0.5152,0.4650,0.0502,KXBTC15M-26FEB220245-45,,-163.57,836.43,,68004.35,
2026-02-21 23:45:16,CLOSE,UP,89,0.4700,68009.02,0.5152,0.4650,0.0502,KXBTC15M-26FEB220245-45,47.17,-116.40,883.60,UP,68004.35,MARKET_RESOLVED
2026-02-21 23:45:17,OPEN,DOWN,5,0.0100,68069.02,0.8701,0.9950,-0.1249,KXBTC15M-26FEB220245-45,,-116.40,883.60,,68004.35,
2026-02-21 23:45:47,CLOSE,DOWN,5,0.0100,68069.02,0.8701,0.9950,-0.1249,KXBTC15M-26FEB220245-45,-0.05,-116.45,883.55,UP,68004.35,MARKET_RESOLVED
2026-02-21 23:46:37,OPEN,UP,100,0.4600,68068.14,0.5000,0.4450,0.0550,KXBTC15M-26FEB220300-00,,-116.45,883.55,,68071.01,
2026-02-22 00:00:37,CLOSE,UP,100,0.4600,68068.14,0.5000,0.4450,0.0550,KXBTC15M-26FEB220300-00,-46.00,-162.45,837.55,DOWN,68071.01,MARKET_RESOLVED
2026-02-22 00:01:01,OPEN,UP,100,0.4100,67982.94,0.5000,0.4050,0.0950,KXBTC15M-26FEB220315-15,,-162.45,837.55,,67985.11,
2026-02-22 00:15:28,CLOSE,UP,100,0.4100,67982.94,0.5000,0.4050,0.0950,KXBTC15M-26FEB220315-15,-41.00,-203.45,796.55,DOWN,67985.11,MARKET_RESOLVED
2026-02-22 00:15:34,OPEN,UP,95,0.4600,67977.14,0.5000,0.4450,0.0550,KXBTC15M-26FEB220330-30,,-203.45,796.55,,67977.14,
2026-02-22 00:30:19,CLOSE,UP,95,0.4600,67977.14,0.5000,0.4450,0.0550,KXBTC15M-26FEB220330-30,-43.70,-247.15,752.85,DOWN,67977.14,MARKET_RESOLVED
2026-02-22 00:31:19,OPEN,UP,96,0.4600,67924.87,0.5138,0.4550,0.0588,KXBTC15M-26FEB220345-45,,-247.15,752.85,,67920.72,
2026-02-22 00:45:39,CLOSE,UP,96,0.4600,67924.87,0.5138,0.4550,0.0588,KXBTC15M-26FEB220345-45,51.84,-195.31,804.69,UP,67920.72,MARKET_RESOLVED
2026-02-22 00:46:27,OPEN,DOWN,100,0.4000,67952.62,0.5311,0.6050,-0.0739,KXBTC15M-26FEB220400-00,,-195.31,804.69,,67943.38,
2026-02-22 01:00:29,CLOSE,DOWN,100,0.4000,67952.62,0.5311,0.6050,-0.0739,KXBTC15M-26FEB220400-00,-40.00,-235.31,764.69,UP,67943.38,MARKET_RESOLVED
2026-02-22 01:00:48,OPEN,UP,94,0.4900,67954.02,0.5405,0.4800,0.0605,KXBTC15M-26FEB220415-15,,-235.31,764.69,,67941.28,
2026-02-22 01:15:21,CLOSE,UP,94,0.4900,67954.02,0.5405,0.4800,0.0605,KXBTC15M-26FEB220415-15,47.94,-187.37,812.63,UP,67941.28,MARKET_RESOLVED
2026-02-22 01:15:22,OPEN,DOWN,5,0.0100,68020.98,0.9126,0.9950,-0.0824,KXBTC15M-26FEB220415-15,,-187.37,812.63,,67941.28,
2026-02-22 01:15:51,CLOSE,DOWN,5,0.0100,68020.98,0.9126,0.9950,-0.0824,KXBTC15M-26FEB220415-15,-0.05,-187.42,812.58,UP,67941.28,MARKET_RESOLVED
2026-02-22 01:15:52,OPEN,DOWN,100,0.3800,68021.00,0.5000,0.6400,-0.1400,KXBTC15M-26FEB220430-30,,-187.42,812.58,,68021.04,
2026-02-22 01:30:44,CLOSE,DOWN,100,0.3800,68021.00,0.5000,0.6400,-0.1400,KXBTC15M-26FEB220430-30,-38.00,-225.42,774.58,UP,68021.04,MARKET_RESOLVED
2026-02-22 01:31:00,OPEN,DOWN,100,0.4500,68008.49,0.5000,0.5600,-0.0600,KXBTC15M-26FEB220445-45,,-225.42,774.58,,68010.63,
2026-02-22 01:45:34,OPEN,DOWN,100,0.4000,68043.21,0.5000,0.6100,-0.1100,KXBTC15M-26FEB220500-00,,-225.42,774.58,,68043.21,
2026-02-22 01:45:34,CLOSE,DOWN,100,0.4500,68008.49,0.5000,0.5600,-0.0600,KXBTC15M-26FEB220445-45,-45.00,-270.42,729.58,UP,68010.63,MARKET_RESOLVED
2026-02-22 02:00:25,CLOSE,DOWN,100,0.4000,68043.21,0.5000,0.6100,-0.1100,KXBTC15M-26FEB220500-00,-40.00,-310.42,689.58,UP,68043.21,MARKET_RESOLVED
2026-02-22 02:00:26,OPEN,DOWN,5,0.0100,68042.28,0.5000,0.9950,-0.4950,KXBTC15M-26FEB220500-00,,-310.42,689.58,,68043.21,
2026-02-22 02:00:56,CLOSE,DOWN,5,0.0100,68042.28,0.5000,0.9950,-0.4950,KXBTC15M-26FEB220500-00,-0.05,-310.47,689.53,UP,68043.21,MARKET_RESOLVED
2026-02-22 02:00:57,OPEN,DOWN,78,0.5300,68016.79,0.4202,0.4800,-0.0598,KXBTC15M-26FEB220515-15,,-310.47,689.53,,68041.76,
2026-02-22 02:15:45,CLOSE,DOWN,78,0.5300,68016.79,0.4202,0.4800,-0.0598,KXBTC15M-26FEB220515-15,36.66,-273.81,726.19,DOWN,68041.76,MARKET_RESOLVED
2026-02-22 02:17:06,OPEN,UP,100,0.3200,68016.74,0.4592,0.3100,0.1492,KXBTC15M-26FEB220530-30,,-273.81,726.19,,68028.24,
2026-02-22 02:30:35,CLOSE,UP,100,0.3200,68016.74,0.4592,0.3100,0.1492,KXBTC15M-26FEB220530-30,68.00,-205.81,794.19,UP,68028.24,MARKET_RESOLVED
2026-02-22 02:33:08,OPEN,UP,100,0.5300,68098.66,0.5982,0.5250,0.0732,KXBTC15M-26FEB220545-45,,-205.81,794.19,,68072.91,
2026-02-22 02:45:24,CLOSE,UP,100,0.5300,68098.66,0.5982,0.5250,0.0732,KXBTC15M-26FEB220545-45,47.00,-158.81,841.19,UP,68072.91,MARKET_RESOLVED
2026-02-22 02:46:27,OPEN,UP,94,0.4700,68087.83,0.5125,0.4600,0.0525,KXBTC15M-26FEB220600-00,,-158.81,841.19,,68084.10,
2026-02-22 03:00:13,CLOSE,UP,94,0.4700,68087.83,0.5125,0.4600,0.0525,KXBTC15M-26FEB220600-00,49.82,-108.99,891.01,UP,68084.10,MARKET_RESOLVED
2026-02-22 03:00:14,OPEN,DOWN,5,0.0100,68117.04,0.7247,0.9950,-0.2703,KXBTC15M-26FEB220600-00,,-108.99,891.01,,68084.10,
2026-02-22 03:00:44,CLOSE,DOWN,5,0.0100,68117.04,0.7247,0.9950,-0.2703,KXBTC15M-26FEB220600-00,-0.05,-109.04,890.96,UP,68084.10,MARKET_RESOLVED
2026-02-22 03:01:12,OPEN,UP,100,0.4900,68127.70,0.5368,0.4800,0.0568,KXBTC15M-26FEB220615-15,,-109.04,890.96,,68116.50,
