Market,Timestamp,Time Remaining,Direction,Probability,Momentum,Actual Outcome,Win,Profit
btc-updown-15m-1770948900,2026-02-12 18:28:00,2,UP,0.842,0.33819999999999995,Down,True,-1.0
btc-updown-15m-1770948900,2026-02-12 18:29:00,1,UP,0.9225,0.18130000000000002,Down,True,-1.0
btc-updown-15m-1770996600,2026-02-13 07:38:00,7,UP,0.803,0.133,Down,True,-1.0
btc-updown-15m-1770998400,2026-02-13 08:08:00,7,UP,0.897,0.22499999999999998,Up,True,0.11482720178372352
btc-updown-15m-1770998400,2026-02-13 08:09:00,6,UP,0.941,0.13349999999999995,Up,True,0.06269925611052085
btc-updown-15m-1770998400,2026-02-13 08:10:00,5,UP,0.953,0.05599999999999994,Up,True,0.04931794333683115
btc-updown-15m-1770999300,2026-02-13 08:24:00,6,DOWN,0.8199,0.10509999999999997,Up,False,-1.0
btc-updown-15m-1770999300,2026-02-13 08:25:00,5,DOWN,0.822,0.07639999999999991,Up,False,-1.0
btc-updown-15m-1770999300,2026-02-13 08:29:00,1,UP,0.772,0.3501,Up,True,0.2953367875647668
btc-updown-15m-1771000200,2026-02-13 08:38:00,7,UP,0.7667,0.07800000000000007,Up,True,0.30429111777748785
btc-updown-15m-1771000200,2026-02-13 08:39:00,6,UP,0.843,0.08899999999999997,Up,True,0.18623962040332143
btc-updown-15m-1771000200,2026-02-13 08:40:00,5,UP,0.905,0.13829999999999998,Up,True,0.1049723756906078
btc-updown-15m-1771000200,2026-02-13 08:41:00,4,UP,0.914,0.07100000000000006,Up,True,0.09409190371991238
btc-updown-15m-1771000200,2026-02-13 08:44:00,1,UP,0.9788,0.052100000000000035,Up,True,0.021659174499387035
btc-updown-15m-1771001100,2026-02-13 08:54:00,6,DOWN,0.777,0.05600000000000005,Down,True,0.287001287001287
btc-updown-15m-1771001100,2026-02-13 08:57:00,3,DOWN,0.766,0.05349999999999999,Down,True,0.3054830287206267
btc-updown-15m-1771001100,2026-02-13 08:58:00,2,DOWN,0.917,0.14700000000000002,Down,True,0.09051254089422023
btc-updown-15m-1771001100,2026-02-13 08:59:00,1,DOWN,0.989,0.22299999999999998,Down,True,0.011122345803842304
btc-updown-15m-1771002000,2026-02-13 09:09:00,6,DOWN,0.8775,0.37749999999999995,Up,False,-1.0
btc-updown-15m-1771002000,2026-02-13 09:10:00,5,DOWN,0.929,0.19300000000000006,Up,False,-1.0
btc-updown-15m-1771002000,2026-02-13 09:11:00,4,DOWN,0.94,0.0625,Up,False,-1.0
btc-updown-15m-1771003800,2026-02-13 09:40:00,5,UP,0.831,0.13959999999999995,Up,True,0.2033694344163659
btc-updown-15m-1771003800,2026-02-13 09:41:00,4,UP,0.918,0.17310000000000003,Up,True,0.08932461873638342
btc-updown-15m-1771003800,2026-02-13 09:42:00,3,UP,0.958,0.127,Up,True,0.04384133611691032
btc-updown-15m-1771003800,2026-02-13 09:43:00,2,UP,0.981,0.06299999999999994,Up,True,0.019367991845056
btc-updown-15m-1771004700,2026-02-13 09:56:00,4,DOWN,0.8201,0.22410000000000008,Down,True,0.21936349225704177
btc-updown-15m-1771004700,2026-02-13 09:59:00,1,DOWN,0.8621,0.19219999999999993,Down,True,0.15995824150330584
btc-updown-15m-1771005600,2026-02-13 10:10:00,5,UP,0.845,0.136,Down,True,-1.0
btc-updown-15m-1771005600,2026-02-13 10:11:00,4,UP,0.8775,0.14049999999999996,Down,True,-1.0
btc-updown-15m-1771006500,2026-02-13 10:24:00,6,UP,0.794,0.1794,Up,True,0.2594458438287153
btc-updown-15m-1771006500,2026-02-13 10:25:00,5,UP,0.75,0.06310000000000004,Up,True,0.33333333333333326
btc-updown-15m-1771006500,2026-02-13 10:29:00,1,UP,0.913,0.26,Up,True,0.095290251916758
btc-updown-15m-1771007400,2026-02-13 10:38:00,7,UP,0.785,0.13750000000000007,Up,True,0.2738853503184713
btc-updown-15m-1771007400,2026-02-13 10:40:00,5,UP,0.892,0.10699999999999998,Up,True,0.12107623318385641
btc-updown-15m-1771007400,2026-02-13 10:41:00,4,UP,0.856,0.08099999999999996,Up,True,0.16822429906542058
btc-updown-15m-1771007400,2026-02-13 10:42:00,3,UP,0.9437,0.05169999999999997,Up,True,0.05965878986966189
btc-updown-15m-1771007400,2026-02-13 10:43:00,2,UP,0.946,0.08999999999999997,Up,True,0.05708245243128962
btc-updown-15m-1771008300,2026-02-13 10:57:00,3,DOWN,0.9,0.27490000000000003,Down,True,0.11111111111111116
btc-updown-15m-1771008300,2026-02-13 10:58:00,2,DOWN,0.92,0.17800000000000005,Down,True,0.08695652173913038
btc-updown-15m-1771008300,2026-02-13 10:59:00,1,DOWN,0.974,0.07399999999999995,Down,True,0.026694045174538106
btc-updown-15m-1771011000,2026-02-13 11:38:00,7,UP,0.753,0.16900000000000004,Down,True,-1.0
btc-updown-15m-1771011000,2026-02-13 11:43:00,2,DOWN,0.7814,0.3974,Down,True,0.2797542871768621
btc-updown-15m-1771011000,2026-02-13 11:44:00,1,DOWN,0.803,0.2290000000000001,Down,True,0.2453300124533
btc-updown-15m-1771011900,2026-02-13 11:56:00,4,UP,0.813,0.1359999999999999,Down,True,-1.0
btc-updown-15m-1771011900,2026-02-13 11:57:00,3,UP,0.846,0.16710000000000003,Down,True,-1.0
btc-updown-15m-1771012800,2026-02-13 12:14:00,1,DOWN,0.906,0.354,Down,True,0.10375275938189832
btc-updown-15m-1771013700,2026-02-13 12:25:00,5,UP,0.7731,0.22309999999999997,Up,True,0.29349372655542627
btc-updown-15m-1771015500,2026-02-13 12:54:00,6,DOWN,0.7631,0.15710000000000002,Down,True,0.3104442405975625
btc-updown-15m-1771015500,2026-02-13 12:56:00,4,DOWN,0.8139,0.050799999999999956,Down,True,0.22865216857107762
btc-updown-15m-1771015500,2026-02-13 12:57:00,3,DOWN,0.903,0.15390000000000004,Down,True,0.10741971207087486
btc-updown-15m-1771015500,2026-02-13 12:58:00,2,DOWN,0.9187,0.1048,Down,True,0.08849461195167097
btc-updown-15m-1771015500,2026-02-13 12:59:00,1,DOWN,0.9587,0.05569999999999997,Down,True,0.04307916970898096
btc-updown-15m-1771016400,2026-02-13 13:11:00,4,UP,0.945,0.08999999999999997,Up,True,0.058201058201058364
btc-updown-15m-1771016400,2026-02-13 13:12:00,3,UP,0.975,0.11580000000000001,Up,True,0.025641025641025772
btc-updown-15m-1771017300,2026-02-13 13:24:00,6,DOWN,0.819,0.07199999999999995,Down,True,0.2210012210012211
btc-updown-15m-1771019100,2026-02-13 13:55:00,5,DOWN,0.7951,0.1261,Down,True,0.2577034335303734
btc-updown-15m-1771019100,2026-02-13 13:56:00,4,DOWN,0.811,0.09190000000000009,Down,True,0.2330456226880393
btc-updown-15m-1771019100,2026-02-13 13:57:00,3,DOWN,0.8531,0.05799999999999994,Down,True,0.17219552221310508
btc-updown-15m-1771020000,2026-02-13 14:11:00,4,UP,0.802,0.258,Down,True,-1.0
btc-updown-15m-1771020000,2026-02-13 14:12:00,3,UP,0.863,0.2592,Down,True,-1.0
btc-updown-15m-1771020900,2026-02-13 14:23:00,7,UP,0.785,0.10710000000000008,Up,True,0.2738853503184713
btc-updown-15m-1771020900,2026-02-13 14:24:00,6,UP,0.782,0.05400000000000005,Up,True,0.27877237851662406
btc-updown-15m-1771020900,2026-02-13 14:27:00,3,UP,0.853,0.05689999999999995,Up,True,0.17233294255568588
btc-updown-15m-1771020900,2026-02-13 14:28:00,2,UP,0.94,0.127,Up,True,0.06382978723404253
btc-updown-15m-1771020900,2026-02-13 14:29:00,1,UP,0.977,0.124,Up,True,0.023541453428863823
btc-updown-15m-1771022700,2026-02-13 14:54:00,6,UP,0.835,0.19399999999999995,Up,True,0.1976047904191618
btc-updown-15m-1771022700,2026-02-13 14:55:00,5,UP,0.84,0.118,Up,True,0.19047619047619047
btc-updown-15m-1771022700,2026-02-13 14:59:00,1,UP,0.7662,0.11929999999999996,Up,True,0.30514226050639515
btc-updown-15m-1771026300,2026-02-13 15:56:00,4,UP,0.765,0.15880000000000005,Up,True,0.30718954248366015
btc-updown-15m-1771026300,2026-02-13 15:57:00,3,UP,0.785,0.11409999999999998,Up,True,0.2738853503184713
btc-updown-15m-1771027200,2026-02-13 16:12:00,3,DOWN,0.784,0.12890000000000001,Up,False,-1.0
btc-updown-15m-1771027200,2026-02-13 16:13:00,2,DOWN,0.848,0.13549999999999995,Up,False,-1.0
btc-updown-15m-1771027200,2026-02-13 16:14:00,1,DOWN,0.8817,0.09770000000000001,Up,False,-1.0
btc-updown-15m-1771028100,2026-02-13 16:23:00,7,DOWN,0.781,0.08300000000000007,Up,False,-1.0
btc-updown-15m-1771029000,2026-02-13 16:42:00,3,UP,0.7721,0.12339999999999995,Up,True,0.2951690195570522
btc-updown-15m-1771029000,2026-02-13 16:43:00,2,UP,0.81,0.14800000000000002,Up,True,0.23456790123456783
btc-updown-15m-1771029000,2026-02-13 16:44:00,1,UP,0.9238,0.15169999999999995,Up,True,0.08248538644728298
btc-updown-15m-1771029900,2026-02-13 16:55:00,5,UP,0.828,0.261,Up,True,0.20772946859903385
btc-updown-15m-1771029900,2026-02-13 16:58:00,2,UP,0.8369,0.10880000000000001,Up,True,0.19488588839765808
btc-updown-15m-1771030800,2026-02-13 17:09:00,6,DOWN,0.755,0.08299999999999996,Up,False,-1.0
btc-updown-15m-1771030800,2026-02-13 17:13:00,2,DOWN,0.89,0.15500000000000003,Up,False,-1.0
btc-updown-15m-1771031700,2026-02-13 17:23:00,7,DOWN,0.7963,0.22960000000000003,Down,True,0.2558081125204068
btc-updown-15m-1771031700,2026-02-13 17:24:00,6,DOWN,0.784,0.11399999999999999,Down,True,0.2755102040816326
btc-updown-15m-1771031700,2026-02-13 17:26:00,4,DOWN,0.845,0.06099999999999994,Down,True,0.18343195266272194
btc-updown-15m-1771031700,2026-02-13 17:27:00,3,DOWN,0.9283,0.1483,Down,True,0.07723796186577614
btc-updown-15m-1771032600,2026-02-13 17:44:00,1,DOWN,0.822,0.14449999999999996,Down,True,0.2165450121654502
btc-updown-15m-1771033500,2026-02-13 17:55:00,5,DOWN,0.7775,0.3958,Down,True,0.2861736334405145
btc-updown-15m-1771033500,2026-02-13 17:56:00,4,DOWN,0.8767,0.3397,Down,True,0.14064104026462876
btc-updown-15m-1771035300,2026-02-13 18:23:00,7,DOWN,0.833,0.12049999999999994,Down,True,0.20048019207683088
btc-updown-15m-1771035300,2026-02-13 18:25:00,5,DOWN,0.888,0.05500000000000005,Down,True,0.12612612612612617
btc-updown-15m-1771035300,2026-02-13 18:26:00,4,DOWN,0.951,0.0827,Down,True,0.051524710830704645
btc-updown-15m-1771035300,2026-02-13 18:27:00,3,DOWN,0.96,0.07199999999999995,Down,True,0.04166666666666674
btc-updown-15m-1771037100,2026-02-13 18:53:00,7,DOWN,0.801,0.0635,Down,True,0.24843945068664164
btc-updown-15m-1771037100,2026-02-13 18:54:00,6,DOWN,0.831,0.07999999999999996,Down,True,0.2033694344163659
btc-updown-15m-1771037100,2026-02-13 18:58:00,2,DOWN,0.93,0.1975,Down,True,0.07526881720430101
btc-updown-15m-1771037100,2026-02-13 18:59:00,1,DOWN,0.8938,0.06980000000000008,Down,True,0.11881852763481748
btc-updown-15m-1771038000,2026-02-13 19:12:00,3,UP,0.816,0.2477999999999999,Up,True,0.22549019607843146
btc-updown-15m-1771038000,2026-02-13 19:13:00,2,UP,0.825,0.13869999999999993,Up,True,0.21212121212121215
btc-updown-15m-1771038900,2026-02-13 19:23:00,7,DOWN,0.7529,0.13790000000000002,Up,False,-1.0
btc-updown-15m-1771038900,2026-02-13 19:24:00,6,DOWN,0.7537,0.10250000000000004,Up,False,-1.0
btc-updown-15m-1771038900,2026-02-13 19:27:00,3,DOWN,0.835,0.13169999999999993,Up,False,-1.0
btc-updown-15m-1771040700,2026-02-13 19:56:00,4,UP,0.785,0.2775000000000001,Up,True,0.2738853503184713
btc-updown-15m-1771040700,2026-02-13 19:57:00,3,UP,0.913,0.29600000000000004,Up,True,0.095290251916758
btc-updown-15m-1771040700,2026-02-13 19:58:00,2,UP,0.889,0.10399999999999998,Up,True,0.12485939257592804
btc-updown-15m-1771041600,2026-02-13 20:09:00,6,DOWN,0.8225,0.12450000000000006,Down,True,0.21580547112462
btc-updown-15m-1771041600,2026-02-13 20:10:00,5,DOWN,0.9175,0.20550000000000002,Down,True,0.0899182561307903
btc-updown-15m-1771041600,2026-02-13 20:11:00,4,DOWN,0.96,0.13749999999999996,Down,True,0.04166666666666674
btc-updown-15m-1771041600,2026-02-13 20:12:00,3,DOWN,0.973,0.055499999999999994,Down,True,0.027749229188078095
btc-updown-15m-1771042500,2026-02-13 20:29:00,1,UP,0.791,0.07900000000000007,Up,True,0.2642225031605563
btc-updown-15m-1771043400,2026-02-13 20:41:00,4,DOWN,0.8938,0.2513000000000001,Down,True,0.11881852763481748
btc-updown-15m-1771043400,2026-02-13 20:42:00,3,DOWN,0.921,0.1685000000000001,Down,True,0.08577633007600438
btc-updown-15m-1771043400,2026-02-13 20:43:00,2,DOWN,0.957,0.06319999999999992,Down,True,0.04493207941483801
btc-updown-15m-1771044300,2026-02-13 20:54:00,6,DOWN,0.896,0.257,Down,True,0.1160714285714286
btc-updown-15m-1771044300,2026-02-13 20:55:00,5,DOWN,0.925,0.19210000000000005,Down,True,0.08108108108108092
btc-updown-15m-1771044300,2026-02-13 20:59:00,1,DOWN,0.97,0.05249999999999999,Down,True,0.030927835051546504
btc-updown-15m-1771045200,2026-02-13 21:12:00,3,UP,0.895,0.135,Up,True,0.11731843575418988
btc-updown-15m-1771045200,2026-02-13 21:13:00,2,UP,0.945,0.10499999999999998,Up,True,0.058201058201058364
btc-updown-15m-1771045200,2026-02-13 21:14:00,1,UP,0.9875,0.09250000000000003,Up,True,0.012658227848101111
btc-updown-15m-1771046100,2026-02-13 21:23:00,7,UP,0.8213,0.19879999999999998,Up,True,0.21758188238159004
btc-updown-15m-1771046100,2026-02-13 21:24:00,6,UP,0.8233,0.10830000000000006,Up,True,0.21462407384914362
btc-updown-15m-1771047000,2026-02-13 21:38:00,7,DOWN,0.91,0.16620000000000001,Down,True,0.09890109890109877
btc-updown-15m-1771047000,2026-02-13 21:39:00,6,DOWN,0.9225,0.05920000000000003,Down,True,0.08401084010840121
btc-updown-15m-1771047900,2026-02-13 21:54:00,6,DOWN,0.7737,0.39990000000000003,Down,True,0.29249062944293636
btc-updown-15m-1771047900,2026-02-13 21:55:00,5,DOWN,0.8533,0.33929999999999993,Down,True,0.17192077815539686
btc-updown-15m-1771047900,2026-02-13 21:56:00,4,DOWN,0.911,0.13729999999999998,Down,True,0.09769484083424795
btc-updown-15m-1771047900,2026-02-13 21:57:00,3,DOWN,0.932,0.0787000000000001,Down,True,0.07296137339055786
btc-updown-15m-1771047900,2026-02-13 21:59:00,1,DOWN,0.9825,0.05049999999999999,Down,True,0.01781170483460559
btc-updown-15m-1771048800,2026-02-13 22:09:00,6,DOWN,0.7767,0.32419999999999993,Up,False,-1.0
btc-updown-15m-1771049700,2026-02-13 22:23:00,7,UP,0.8675,0.054500000000000104,Up,True,0.1527377521613833
btc-updown-15m-1771049700,2026-02-13 22:26:00,4,UP,0.967,0.08799999999999997,Up,True,0.03412616339193386
btc-updown-15m-1771049700,2026-02-13 22:27:00,3,UP,0.972,0.13369999999999993,Up,True,0.028806584362139898
