date,outcome_label,price
2026-02-01,dip $35k,0.010652
2026-02-02,dip $35k,0.006187
2026-02-03,dip $35k,0.006521
2026-02-04,dip $35k,0.010604
2026-02-05,dip $35k,0.0225
2026-02-06,dip $35k,0.035229
2026-02-07,dip $35k,0.021522
2026-02-08,dip $35k,0.017896
2026-02-09,dip $35k,0.016521
2026-02-10,dip $35k,0.015458
2026-02-11,dip $35k,0.016313
2026-02-12,dip $35k,0.015271
2026-02-13,dip $35k,0.011438
2026-02-14,dip $35k,0.009587
2026-02-15,dip $35k,0.006958
2026-02-16,dip $35k,0.006479
2026-02-17,dip $35k,0.006146
2026-02-18,dip $35k,0.006717
2026-02-19,dip $35k,0.009687
2026-02-01,dip $40k,0.012935
2026-02-02,dip $40k,0.010917
2026-02-03,dip $40k,0.010521
2026-02-04,dip $40k,0.013625
2026-02-05,dip $40k,0.035813
2026-02-06,dip $40k,0.053667
2026-02-07,dip $40k,0.0365
2026-02-08,dip $40k,0.02875
2026-02-09,dip $40k,0.023208
2026-02-10,dip $40k,0.021708
2026-02-11,dip $40k,0.025771
2026-02-12,dip $40k,0.022375
2026-02-13,dip $40k,0.019292
2026-02-14,dip $40k,0.01237
2026-02-15,dip $40k,0.009479
2026-02-16,dip $40k,0.009583
2026-02-17,dip $40k,0.01094
2026-02-18,dip $40k,0.012687
2026-02-19,dip $40k,0.016688
2026-02-01,dip $45k,0.017543
2026-02-02,dip $45k,0.014979
2026-02-03,dip $45k,0.015104
2026-02-04,dip $45k,0.022354
2026-02-05,dip $45k,0.055
2026-02-06,dip $45k,0.076854
2026-02-07,dip $45k,0.053217
2026-02-08,dip $45k,0.03737
2026-02-09,dip $45k,0.03287
2026-02-10,dip $45k,0.031795
2026-02-11,dip $45k,0.039075
2026-02-12,dip $45k,0.035357
2026-02-13,dip $45k,0.031848
2026-02-14,dip $45k,0.021095
2026-02-15,dip $45k,0.016818
2026-02-16,dip $45k,0.01685
2026-02-17,dip $45k,0.016239
2026-02-18,dip $45k,0.019306
2026-02-19,dip $45k,0.023929
2026-02-01,dip $50k,0.024152
2026-02-02,dip $50k,0.025125
2026-02-03,dip $50k,0.023208
2026-02-04,dip $50k,0.040729
2026-02-05,dip $50k,0.093833
2026-02-06,dip $50k,0.136438
2026-02-07,dip $50k,0.101565
2026-02-08,dip $50k,0.0855
2026-02-09,dip $50k,0.074708
2026-02-10,dip $50k,0.067687
2026-02-11,dip $50k,0.078292
2026-02-12,dip $50k,0.077875
2026-02-13,dip $50k,0.059667
2026-02-14,dip $50k,0.03313
2026-02-15,dip $50k,0.033313
2026-02-16,dip $50k,0.040042
2026-02-17,dip $50k,0.036292
2026-02-18,dip $50k,0.034021
2026-02-19,dip $50k,0.040063
2026-02-01,dip $55k,0.045761
2026-02-02,dip $55k,0.055646
2026-02-03,dip $55k,0.055479
2026-02-04,dip $55k,0.080396
2026-02-05,dip $55k,0.191229
2026-02-06,dip $55k,0.299896
2026-02-07,dip $55k,0.216913
2026-02-08,dip $55k,0.186375
2026-02-09,dip $55k,0.163437
2026-02-10,dip $55k,0.161583
2026-02-11,dip $55k,0.193208
2026-02-12,dip $55k,0.190917
2026-02-13,dip $55k,0.148083
2026-02-14,dip $55k,0.089543
2026-02-15,dip $55k,0.074208
2026-02-16,dip $55k,0.086833
2026-02-17,dip $55k,0.088063
2026-02-18,dip $55k,0.083804
2026-02-19,dip $55k,0.0985
2026-02-01,dip $60k,0.099565
2026-02-02,dip $60k,0.109167
2026-02-03,dip $60k,0.111042
2026-02-04,dip $60k,0.158958
2026-02-05,dip $60k,0.356667
2026-02-06,dip $60k,0.633793
2026-02-07,dip $60k,0.39
2026-02-08,dip $60k,0.332292
2026-02-09,dip $60k,0.330208
2026-02-10,dip $60k,0.327083
2026-02-11,dip $60k,0.394348
2026-02-12,dip $60k,0.392826
2026-02-13,dip $60k,0.35625
2026-02-14,dip $60k,0.229783
2026-02-15,dip $60k,0.204792
2026-02-16,dip $60k,0.241667
2026-02-17,dip $60k,0.243542
2026-02-18,dip $60k,0.249286
2026-02-19,dip $60k,0.276875
2026-02-01,dip $65k,0.185217
2026-02-02,dip $65k,0.21625
2026-02-03,dip $65k,0.227917
2026-02-04,dip $65k,0.31
2026-02-05_resolved,dip $65k,1.0
2026-02-01,dip $70k,0.398696
2026-02-02,dip $70k,0.432917
2026-02-03,dip $70k,0.456042
2026-02-04,dip $70k,0.608542
2026-02-05_resolved,dip $70k,1.0
2026-02-01,dip $75k,0.743913
2026-02-02_resolved,dip $75k,1.0
2026-02-01_resolved,dip $80k,1.0
2026-02-06,reach $75k,0.632143
2026-02-07,reach $75k,0.578913
2026-02-08,reach $75k,0.639583
2026-02-09,reach $75k,0.596042
2026-02-10,reach $75k,0.497708
2026-02-11,reach $75k,0.354792
2026-02-12,reach $75k,0.322708
2026-02-13,reach $75k,0.325625
2026-02-14,reach $75k,0.437609
2026-02-15,reach $75k,0.43375
2026-02-16,reach $75k,0.347045
2026-02-17,reach $75k,0.305417
2026-02-18,reach $75k,0.224773
2026-02-19,reach $75k,0.17875
2026-02-06,reach $80k,0.340714
2026-02-07,reach $80k,0.278043
2026-02-08,reach $80k,0.327083
2026-02-09,reach $80k,0.299583
2026-02-10,reach $80k,0.219375
2026-02-11,reach $80k,0.149792
2026-02-12,reach $80k,0.126042
2026-02-13,reach $80k,0.110625
2026-02-14,reach $80k,0.152609
2026-02-15,reach $80k,0.150208
2026-02-16,reach $80k,0.12125
2026-02-17,reach $80k,0.09375
2026-02-18,reach $80k,0.0605
2026-02-19,reach $80k,0.0635
2026-02-01,reach $85k,0.501957
2026-02-02,reach $85k,0.467083
2026-02-03,reach $85k,0.4775
2026-02-04,reach $85k,0.37
2026-02-05,reach $85k,0.199375
2026-02-06,reach $85k,0.132292
2026-02-07,reach $85k,0.130435
2026-02-08,reach $85k,0.146667
2026-02-09,reach $85k,0.136739
2026-02-10,reach $85k,0.099783
2026-02-11,reach $85k,0.067174
2026-02-12,reach $85k,0.054091
2026-02-13,reach $85k,0.046021
2026-02-14,reach $85k,0.050413
2026-02-15,reach $85k,0.049292
2026-02-16,reach $85k,0.042025
2026-02-17,reach $85k,0.035229
2026-02-18,reach $85k,0.02381
2026-02-19,reach $85k,0.0245
2026-02-01,reach $90k,0.24413
2026-02-02,reach $90k,0.226875
2026-02-03,reach $90k,0.228958
2026-02-04,reach $90k,0.172917
2026-02-05,reach $90k,0.089375
2026-02-06,reach $90k,0.063792
2026-02-07,reach $90k,0.061152
2026-02-08,reach $90k,0.063609
2026-02-09,reach $90k,0.057217
2026-02-10,reach $90k,0.043065
2026-02-11,reach $90k,0.025239
2026-02-12,reach $90k,0.022091
2026-02-13,reach $90k,0.019854
2026-02-14,reach $90k,0.021217
2026-02-15,reach $90k,0.020435
2026-02-16,reach $90k,0.01615
2026-02-17,reach $90k,0.0125
2026-02-18,reach $90k,0.00975
2026-02-19,reach $90k,0.014214
2026-02-01,reach $95k,0.119783
2026-02-02,reach $95k,0.104583
2026-02-03,reach $95k,0.1025
2026-02-04,reach $95k,0.080833
2026-02-05,reach $95k,0.048438
2026-02-06,reach $95k,0.038625
2026-02-07,reach $95k,0.035848
2026-02-08,reach $95k,0.032083
2026-02-09,reach $95k,0.025646
2026-02-10,reach $95k,0.014875
2026-02-11,reach $95k,0.009458
2026-02-12,reach $95k,0.010458
2026-02-13,reach $95k,0.008479
2026-02-14,reach $95k,0.011674
2026-02-15,reach $95k,0.011271
2026-02-16,reach $95k,0.008375
2026-02-17,reach $95k,0.006062
2026-02-18,reach $95k,0.005958
2026-02-19,reach $95k,0.008188
2026-02-01,reach $100k,0.064391
2026-02-02,reach $100k,0.051896
2026-02-03,reach $100k,0.048625
2026-02-04,reach $100k,0.04025
2026-02-05,reach $100k,0.029479
2026-02-06,reach $100k,0.024792
2026-02-07,reach $100k,0.024761
2026-02-08,reach $100k,0.018771
2026-02-09,reach $100k,0.014188
2026-02-10,reach $100k,0.010354
2026-02-11,reach $100k,0.007792
2026-02-12,reach $100k,0.006167
2026-02-13,reach $100k,0.006021
2026-02-14,reach $100k,0.006196
2026-02-15,reach $100k,0.006333
2026-02-16,reach $100k,0.005792
2026-02-17,reach $100k,0.004542
2026-02-18,reach $100k,0.004146
2026-02-19,reach $100k,0.00425
2026-02-01,reach $105k,0.035478
2026-02-02,reach $105k,0.027938
2026-02-03,reach $105k,0.024021
2026-02-04,reach $105k,0.020583
2026-02-05,reach $105k,0.015813
2026-02-06,reach $105k,0.014354
2026-02-07,reach $105k,0.012022
2026-02-08,reach $105k,0.012208
2026-02-09,reach $105k,0.006604
2026-02-10,reach $105k,0.006646
2026-02-11,reach $105k,0.006562
2026-02-12,reach $105k,0.0055
2026-02-13,reach $105k,0.005167
2026-02-14,reach $105k,0.0045
2026-02-15,reach $105k,0.0045
2026-02-16,reach $105k,0.004125
2026-02-17,reach $105k,0.00354
2026-02-18,reach $105k,0.00275
2026-02-19,reach $105k,0.001875
2026-02-01,reach $110k,0.021739
2026-02-02,reach $110k,0.017958
2026-02-03,reach $110k,0.014979
2026-02-04,reach $110k,0.0135
2026-02-05,reach $110k,0.011854
2026-02-06,reach $110k,0.008604
2026-02-07,reach $110k,0.008022
2026-02-08,reach $110k,0.010083
2026-02-09,reach $110k,0.007208
2026-02-10,reach $110k,0.006
2026-02-11,reach $110k,0.004833
2026-02-12,reach $110k,0.004125
2026-02-13,reach $110k,0.004187
2026-02-14,reach $110k,0.004348
2026-02-15,reach $110k,0.0035
2026-02-16,reach $110k,0.002792
2026-02-17,reach $110k,0.0025
2026-02-18,reach $110k,0.0025
2026-02-19,reach $110k,0.001625
2026-02-01,reach $115k,0.014413
2026-02-02,reach $115k,0.009604
2026-02-03,reach $115k,0.008438
2026-02-04,reach $115k,0.007708
2026-02-05,reach $115k,0.007187
2026-02-06,reach $115k,0.006625
2026-02-07,reach $115k,0.005761
2026-02-08,reach $115k,0.007312
2026-02-09,reach $115k,0.005937
2026-02-10,reach $115k,0.005333
2026-02-11,reach $115k,0.0045
2026-02-12,reach $115k,0.003979
2026-02-13,reach $115k,0.003208
2026-02-14,reach $115k,0.0025
2026-02-15,reach $115k,0.0025
2026-02-16,reach $115k,0.0025
2026-02-17,reach $115k,0.0025
2026-02-18,reach $115k,0.0025
2026-02-19,reach $115k,0.001625
2026-02-01,reach $120k,0.012413
2026-02-02,reach $120k,0.006312
2026-02-03,reach $120k,0.005479
2026-02-04,reach $120k,0.004604
2026-02-05,reach $120k,0.004271
2026-02-06,reach $120k,0.0045
2026-02-07,reach $120k,0.005022
2026-02-08,reach $120k,0.006938
2026-02-09,reach $120k,0.0055
2026-02-10,reach $120k,0.0045
2026-02-11,reach $120k,0.00375
2026-02-12,reach $120k,0.0035
2026-02-13,reach $120k,0.002833
2026-02-14,reach $120k,0.0025
2026-02-15,reach $120k,0.0025
2026-02-16,reach $120k,0.0025
2026-02-17,reach $120k,0.0025
2026-02-18,reach $120k,0.0025
2026-02-19,reach $120k,0.001625
2026-02-01,reach $125k,0.009457
2026-02-02,reach $125k,0.005667
2026-02-03,reach $125k,0.0045
2026-02-04,reach $125k,0.003583
2026-02-05,reach $125k,0.0035
2026-02-06,reach $125k,0.0035
2026-02-07,reach $125k,0.004109
2026-02-08,reach $125k,0.006
2026-02-09,reach $125k,0.004833
2026-02-10,reach $125k,0.003687
2026-02-11,reach $125k,0.0035
2026-02-12,reach $125k,0.0035
2026-02-13,reach $125k,0.002708
2026-02-14,reach $125k,0.0025
2026-02-15,reach $125k,0.002042
2026-02-16,reach $125k,0.0015
2026-02-17,reach $125k,0.0015
2026-02-18,reach $125k,0.001771
2026-02-19,reach $125k,0.0015
2026-02-01,reach $150k,0.004957
2026-02-02,reach $150k,0.0045
2026-02-03,reach $150k,0.0045
2026-02-04,reach $150k,0.004396
2026-02-05,reach $150k,0.003792
2026-02-06,reach $150k,0.0035
2026-02-07,reach $150k,0.0035
2026-02-08,reach $150k,0.0035
2026-02-09,reach $150k,0.002935
2026-02-10,reach $150k,0.0025
2026-02-11,reach $150k,0.0025
2026-02-12,reach $150k,0.0025
2026-02-13,reach $150k,0.0025
2026-02-14,reach $150k,0.002848
2026-02-15,reach $150k,0.002792
2026-02-16,reach $150k,0.0025
2026-02-17,reach $150k,0.0025
2026-02-18,reach $150k,0.0025
2026-02-19,reach $150k,0.0015
